video,type,n_paires,mean_velocity_mean,max_velocity_mean,direction_mean,spatial_correlation_mean,vorticity_mean,divergence_mean,elongation_mean,dispersion_angle_mean,expansion_rate_mean,mean_velocity_std,max_velocity_std,direction_std,spatial_correlation_std,vorticity_std,divergence_std,elongation_std,dispersion_angle_std,expansion_rate_std
Bac_1.MP4,bacteria,35,25.7449,54.8895,163.2613,0.5131,0.2669,0.4531,2.3093,66.6853,0.1609,9.6392,23.2074,95.8139,0.322,0.2417,0.4182,0.6641,18.4456,0.804
Bac_2.MP4,bacteria,47,30.8481,65.9524,202.6267,0.3662,0.3296,0.5013,1.757,52.0972,0.0905,10.0617,23.7037,99.0581,0.3316,0.3052,0.4447,0.4503,23.8992,0.4965
Bac_3.MP4,bacteria,39,22.7172,60.7593,181.7335,0.4876,0.2873,0.5406,2.0941,58.0573,0.0059,5.7451,19.1763,94.3835,0.2516,0.26,0.4233,0.1879,12.4187,0.0633
Bac_4.MP4,bacteria,33,26.7916,45.6467,158.8568,0.7479,0.2754,0.3634,1.7774,58.8614,7.7307,11.3278,20.1337,105.3539,0.206,0.2106,0.4062,0.4776,24.1262,31.9368
Bac_5.MP4,bacteria,68,26.9968,59.1018,227.2223,0.4639,0.2855,0.4698,1.8373,54.8876,2.4621,9.3443,21.8927,86.6702,0.3084,0.2436,0.4475,0.5721,24.1717,10.1507
Bac_6.MP4,bacteria,61,26.0949,52.7327,187.3304,0.5343,0.2488,0.3811,1.7257,48.0682,0.5184,11.1125,23.9147,104.5197,0.2887,0.2327,0.328,0.4513,32.5037,1.561
Bac_7.MP4,bacteria,57,28.8705,64.9807,190.0494,0.3668,0.3225,0.3741,1.9876,51.6479,1.0971,9.1117,22.374,93.7332,0.2837,0.2904,0.3431,0.7691,23.357,3.5002
Bac_8.MP4,bacteria,14,29.1067,82.0084,186.8261,0.1455,0.0797,0.1172,1.8008,64.2021,0.0879,3.8957,6.7592,93.3918,0.1083,0.0641,0.0702,0.8149,22.2924,0.3089
Bac_9.MP4,bacteria,60,32.4004,78.7973,180.967,0.2208,0.0815,0.0816,2.7363,36.323,0.0238,5.1655,12.0151,88.3436,0.2253,0.0597,0.0641,0.885,16.8032,0.183
Bac_10.MP4,bacteria,39,34.7719,78.9038,230.1501,0.2194,0.0741,0.1085,2.0011,24.3346,0.1959,5.2928,15.5783,75.8018,0.2851,0.0613,0.085,0.5163,15.8663,0.928
Bac_11.MP4,bacteria,59,33.367,80.1242,185.7579,0.1941,0.0696,0.1158,2.1733,43.9923,0.1668,5.2875,12.0128,106.6228,0.1843,0.0591,0.0814,0.8487,22.8684,0.7801
Bac_12.MP4,bacteria,36,29.2712,78.9002,187.7725,0.2086,0.0689,0.1291,1.406,51.2433,-0.0341,4.8084,11.4441,87.9991,0.1841,0.0627,0.0981,0.1885,15.3126,0.1014
Bac_13.MP4,bacteria,38,29.3765,68.7237,224.2351,0.3735,0.0652,0.0915,5.5165,9.3488,0.1229,7.8665,19.7744,93.1447,0.2876,0.0593,0.0685,3.4518,20.7099,0.5145
Bac_14.MP4,bacteria,62,29.0868,70.4302,167.3406,0.3354,0.0684,0.0802,2.0068,44.4595,0.043,8.3247,21.274,102.6765,0.2677,0.0579,0.0558,0.3177,11.6718,0.3539
Bac_15.MP4,bacteria,38,28.8337,79.3803,187.1472,0.2116,0.0947,0.1026,2.0462,26.7833,0.1174,6.3463,14.49,88.8691,0.1563,0.0725,0.0976,1.1258,22.8974,0.4636
Bac_16.MP4,bacteria,25,31.4577,81.1448,208.7497,0.1041,0.0791,0.0964,1.8772,41.4886,0.2925,6.4284,15.2014,72.6275,0.0957,0.049,0.0806,0.5402,23.2826,0.8236
Bac_17.MP4,bacteria,41,30.1294,81.2521,181.2934,0.1222,0.0835,0.0829,2.4183,73.6245,0.2197,6.733,12.7443,91.8321,0.097,0.0712,0.0631,1.1055,11.703,1.0384
Bac_18.MP4,bacteria,54,28.8893,79.8696,184.6425,0.1776,0.0748,0.0956,2.939,52.8093,0.2131,6.6587,10.9487,79.604,0.1291,0.0648,0.0793,2.1309,21.9894,0.9732
